"Level1","Level2","Level3","Level4","Level5","Nationals","ForeignResidents","Address"
"4D",,,,,13,,"Esc. Nº1 ""Joaquín V. González"" - Av. Montes de Oca 1356"
"4C",,,,,7,2,"Esc. Nº3 ""Juan Martín Gutiérrez"" - Rocha 1226"
"4C",,,,,3,5,"Esc. Nº4 ""José Jacinto Berrutti"" - Quinquela Martin 1081 / A. Nuñez s/n"
"4C",,,,,12,,"Esc. Nº13 ""Rep. de Chile"" - Suárez 1145"
"4C",,,,,3,,"Esc. Nº19 ""República Italiana"" - Rio Cuarto 1249"
"4C",,,,,3,,"Inst. San Pedro - Benito Quinquela Martin 1171"
"4C",,,,,6,,"Esc. Nº11 ""Antonio J. Bucich"" - Brandsen 1057"
"4C",,,,,6,9,"Esc. Nº3 ""Casa Amarilla"" - Palos 210"
"4C",,,,,4,,"Esc. Nº9 ""Pedro de Mendoza"" - Av. Pedro de Mendoza 1835"
"4C",,,,,6,,"Esc. Nº1 “Alte. Guillermo Brown” - Aristóbulo del Valle 471"
"4C",,,,,4,,"Esc. Nº10 ""Gral. G. Aráoz de Lamadrid"" - Gral. G. Aráoz de Lamadrid 499"
"4C",,,,,3,,"Esc. Nº29 ""Manuel Belgrano"" - Gral. G. Aráoz de Lamadrid 676"
"4C",,,,,6,,"Esc. Nº14 ""Agustín R. Caffarena"" - Necochea 1136"
"4C",,,,,5,,"Colegio María Auxiliadora - Palos 560 / Brandsen 590"
"4C",,,,,6,,"Colegio San Juan Evangelista - Gral. G. Araoz de Lamadrid 447"
"4C",,,,,4,9,"Usina del Arte - Agustín R. Caffarena 1"
"4C",,,,,3,,"Esc. N°3 ""Htal. Gral. de Agudos Argerich"" - Azopardo 1504"
"4C",,,,,12,,"Esc. Nº8 ""Carlos Della Pena"" - E. Braun Menéndez 260"
"4C",,,,,6,,"Inst. Madre de los Emigrantes - Necochea 330"
"4C",,,,,4,,"Esc. Nº2 ""Dr. Carlos R. Vignale"" - Wenceslao Villafañe 453"
"4C",,,,,6,,"Esc. Interdisciplinaria Nº4 - Av. Alte Brown 473"
"4C",,,,,8,,"C.A.B.J.Polideportivo B. Quinquela Martín - Arzobispo Espinosa 565"
